id_show,Generos
79699.0,Drama
92685.0,Animation
92685.0,Sci-Fi & Fantasy
92685.0,Drama
92685.0,Action & Adventure
92685.0,Comedy
60573.0,Comedy
92830.0,Sci-Fi & Fantasy
92830.0,Action & Adventure
39340.0,Comedy
58474.0,Documentary
60743.0,Action & Adventure
60743.0,Drama
60743.0,Sci-Fi & Fantasy
4629.0,Sci-Fi & Fantasy
4629.0,Action & Adventure
4629.0,Mystery
72637.0,Comedy
72637.0,Family
92396.0,Drama
71789.0,Action & Adventure
71789.0,Drama
71789.0,War & Politics
76773.0,Drama
76773.0,Action & Adventure
153312.0,Crime
153312.0,Drama
69629.0,Sci-Fi & Fantasy
69629.0,Action & Adventure
69629.0,Drama
100834.0,Drama
85723.0,Sci-Fi & Fantasy
85723.0,Drama
1972.0,Sci-Fi & Fantasy
1972.0,Action & Adventure
1972.0,Drama
2085.0,Family
2085.0,Sci-Fi & Fantasy
2085.0,Animation
2085.0,Comedy
100049.0,Animation
100049.0,Comedy
5371.0,Comedy
5371.0,Family
5371.0,Kids
1973.0,Action & Adventure
1973.0,Drama
90461.0,Family
90461.0,Comedy
90461.0,Animation
8358.0,Crime
8358.0,Drama
8358.0,Mystery
66573.0,Sci-Fi & Fantasy
66573.0,Comedy
79696.0,Drama
79696.0,Mystery
79696.0,Sci-Fi & Fantasy
67136.0,Comedy
67136.0,Drama
97175.0,Sci-Fi & Fantasy
97175.0,Drama
87784.0,Drama
87784.0,Mystery
87784.0,Crime
66292.0,Drama
64464.0,Drama
64464.0,Sci-Fi & Fantasy
94667.0,Documentary
655.0,Sci-Fi & Fantasy
655.0,Action & Adventure
655.0,Drama
655.0,Mystery
84661.0,Mystery
84661.0,Drama
84661.0,Crime
97546.0,Comedy
97546.0,Drama
89456.0,Action & Adventure
89456.0,Animation
89456.0,Drama
52.0,Comedy
52.0,Family
52.0,Drama
8592.0,Comedy
37606.0,Animation
37606.0,Family
37606.0,Sci-Fi & Fantasy
37606.0,Comedy
62285.0,Sci-Fi & Fantasy
62285.0,Action & Adventure
62285.0,Crime
86031.0,Action & Adventure
86031.0,Animation
61923.0,Action & Adventure
61923.0,Animation
61923.0,Comedy
61923.0,Sci-Fi & Fantasy
114410.0,Animation
114410.0,Action & Adventure
114410.0,Sci-Fi & Fantasy
114410.0,Comedy
45790.0,Animation
45790.0,Action & Adventure
45790.0,Sci-Fi & Fantasy
73375.0,Action & Adventure
73375.0,Drama
73375.0,War & Politics
67195.0,Action & Adventure
67195.0,Sci-Fi & Fantasy
103768.0,Drama
103768.0,Sci-Fi & Fantasy
1420.0,Comedy
61617.0,Mystery
61617.0,Sci-Fi & Fantasy
61617.0,Animation
61617.0,Family
61617.0,Comedy
71790.0,Crime
71790.0,Action & Adventure
71790.0,Drama
79501.0,Sci-Fi & Fantasy
79501.0,Drama
21510.0,Crime
21510.0,Drama
21510.0,Mystery
85720.0,Drama
85720.0,Sci-Fi & Fantasy
126280.0,Comedy
126280.0,Drama
128839.0,Drama
128839.0,Sci-Fi & Fantasy
128839.0,Action & Adventure
79788.0,Crime
79788.0,Drama
79788.0,Action & Adventure
79788.0,Sci-Fi & Fantasy
57706.0,Comedy
57706.0,Action & Adventure
57706.0,Animation
57706.0,Sci-Fi & Fantasy
58450.0,Drama
115857.0,Comedy
115857.0,Drama
4589.0,Comedy
47665.0,Drama
47665.0,Action & Adventure
96462.0,Drama
96462.0,Comedy
2490.0,Comedy
80623.0,Animation
80623.0,Action & Adventure
80623.0,Crime
80623.0,Drama
83095.0,Animation
83095.0,Action & Adventure
83095.0,Sci-Fi & Fantasy
83095.0,Drama
4616.0,Drama
4616.0,Action & Adventure
4616.0,Sci-Fi & Fantasy
80968.0,Drama
80968.0,Crime
54671.0,Sci-Fi & Fantasy
54671.0,Drama
54671.0,Mystery
54671.0,Action & Adventure
45815.0,Drama
45815.0,Mystery
45815.0,Soap
45815.0,Crime
82596.0,Drama
82596.0,Comedy
74016.0,Drama
4327.0,Comedy
4327.0,Family
65844.0,Action & Adventure
65844.0,Animation
65844.0,Comedy
65844.0,Sci-Fi & Fantasy
79525.0,Documentary
60863.0,Animation
60863.0,Comedy
60863.0,Drama
42444.0,Animation
42444.0,Drama
42444.0,Action & Adventure
120168.0,Drama
120168.0,Crime
120168.0,Mystery
54650.0,Crime
54650.0,Drama
2384.0,Action & Adventure
2384.0,Drama
2384.0,Sci-Fi & Fantasy
67070.0,Comedy
