id_show,Companias_Produccion
1438.0,Blown Deadline Productions
1438.0, Anthony Hemingway Productions
90239.0,Corazón Films
105.0,Darren Star Productions
105.0, HBO
1433.0,20th Century Fox Television
1433.0, Underdog Productions
1433.0, Fuzzy Door Productions
1433.0, 20th Television Animation
1433.0, 20th Television
96815.0,Vox Media Studios
96815.0, Vox Entertainment
1395.0,Warner Bros. Television
1395.0, Alloy Entertainment
1395.0, Fake Empire Productions
1395.0, CBS Studios
35610.0,SUNRISE
89641.0,Studio Dragon
89641.0, Production H
33880.0,Pierrot
33880.0, Nickelodeon Animation Studio
33880.0, Studio Mir
1437.0,Mutant Enemy Productions
1437.0, 20th Century Fox Television
96677.0,Gaumont
92783.0,Marvel Studios
92783.0, Kevin Feige Productions
71914.0,Sony Pictures Television Studios
71914.0, Radar Pictures
71914.0, Amazon Studios
71914.0, IWOT Productions
71914.0, Little Island Productions
71914.0, Long Weekend Productions
65494.0,Left Bank Pictures
65494.0, Sony Pictures Television Studios
31132.0,Cartoon Network Studios
12697.0,Bird Studios
12697.0, Toei Animation
12697.0, Toei Company
12697.0, Fizz Sound Creation
1920.0,Spelling Entertainment
1920.0, Lynch/Frost Productions
1920.0, Propaganda Films
31586.0,Telemundo Global Studios
73586.0,101 Studios
73586.0, Bosque Ranch Productions
73586.0, The Linson Company
73586.0, Treehouse Films
4194.0,Lucasfilm Animation
4194.0, Lucasfilm Ltd.
31911.0,BONES
31911.0, Aniplex
31911.0, SQUARE ENIX
31911.0, MBS
31911.0, Techno Sound
93741.0,Universal Pictures
93741.0, DreamWorks Animation Television
93741.0, Amblin Television
93741.0, Legendary Television
93741.0, The Kennedy/Marshall Company
2038.0,Schneider's Bakery
2038.0, Nickelodeon Productions
90802.0,Warner Bros. Television
90802.0, DC Entertainment
90802.0, Purepop
90802.0, Phantom Four
90802.0, The Blank Corporation
63401.0,Cartoon Network Studios
47.0,Televisa
71915.0,Narrativia
71915.0, BBC Studios
71915.0, The Blank Corporation
71915.0, BBC Worldwide
71915.0, Salt River Studios
71915.0, Amazon Studios
76121.0,TRIGGER
76121.0, CloverWorks
76121.0, A-1 Pictures
76121.0, khara
77606.0,DreamWorks Animation Television
12926.0,Televisa
1400.0,West-Shapiro
1400.0, Castle Rock Entertainment
90260.0,21 Laps Entertainment
110316.0,Robot Communications
110316.0, Netflix
68421.0,Mythology Entertainment
68421.0, Skydance Television
61550.0,ABC Studios
61550.0, Marvel Television
61550.0, Fazekas & Butters
10545.0,Your Face Goes Here Entertainment
10545.0, HBO
45950.0,TNK
1419.0,Beacon Pictures
1419.0, Experimental Pictures
1419.0, ABC Studios
47640.0,Mirada
693.0,sin informacion
62046.0,Ryan Murphy Productions
62046.0, 20th Century Fox Television
30984.0,Pierrot
30984.0, Aniplex
30984.0, Shueisha
30984.0, TV Tokyo
30984.0, dentsu
30984.0, Zack Promotion
16420.0,Group Eight
45782.0,A-1 Pictures
45782.0, Aniplex
45782.0, GENCO
45782.0, EGG FIRM
62126.0,Marvel Television
62126.0, ABC Studios
31356.0,sin informacion
100883.0,Kaling International
100883.0, Universal Television
4556.0,Touchstone Television
4556.0, Doozer
4556.0, ABC Studios
80743.0,Ryan Seacrest Productions
80743.0, Storied Media Group
80743.0, CBS Studios
97180.0,Q Productions
97180.0, Campanario Entertainment
67198.0,Secret Hideout
67198.0, Paramount Television Studios
67198.0, Roddenberry Entertainment
67198.0, Bad Robot
67198.0, CBS Studios
1606.0,sin informacion
60572.0,Shogakukan Production
60572.0, TV Tokyo
60572.0, OLM
60572.0, Shogakukan-Shueisha Productions
60572.0, TV Tokyo Medianet
60572.0, SOFTX
42035.0,Globomedia
85949.0,CBS Studios
85949.0, Secret Hideout
85949.0, Roddenberry Entertainment
85949.0, Weed Road Pictures
85949.0, Escapist Fare
32798.0,K/O Paper Products
32798.0, 101st Street Entertainment
32798.0, CBS Studios
31251.0,Sony Music Entertainment
31251.0, Nickelodeon Productions
31251.0, Schneider's Bakery
95.0,Mutant Enemy Productions
95.0, Kuzui Enterprises
95.0, Sandollar Productions
95.0, 20th Century Fox Television
64432.0,UCP
64432.0, Groundswell Productions
64432.0, Universal Television
114868.0,Graphinica
114868.0, Yumeta Company
114868.0, Warner Bros. Japan
114868.0, CoMix Wave Films
114868.0, Sammy
114868.0, THE KLOCKWORX
114868.0, MBS
4686.0,Cartoon Network Studios
63333.0,Carnival Films
1411.0,Kilter Films
1411.0, Bad Robot
1411.0, Warner Bros. Television
97186.0,20th Century Fox Television
97186.0, Temple Hill Entertainment
97186.0, No Helmet Productions
97186.0, The Walk-Up Company
97186.0, 20th Television
46298.0,Madhouse
71411.0,Story House Entertainment
71411.0, Univision Studios
1415.0,Timberman/Beverly Productions
1415.0, CBS Studios
1620.0,sin informacion
120089.0,WIT STUDIO
120089.0, CloverWorks
120089.0, Shogakukan-Shueisha Productions
120089.0, TV Tokyo
120089.0, Shueisha
120089.0, TOHO
71740.0,Televisa
18347.0,Krasnoff / Foster Entertainment
18347.0, Universal Media Studios
18347.0, Dan Harmon / Russo Brothers
18347.0, Harmonious Claptrap
18347.0, Sony Pictures Television Studios
18347.0, Universal Television
46786.0,Kerry Ehrin Productions
46786.0, Cuse Productions
46786.0, Universal Television
46786.0, American Genre
46639.0,FremantleMedia North America
112888.0,Bon Factory
112888.0, Studio N
112888.0, Studio Dragon
79744.0,The Mark Gordon Company
79744.0, ABC Studios
79744.0, Entertainment One
79744.0, Foxburg Financing 5
79744.0, ABC Signature
68507.0,Bad Wolf
68507.0, New Line Cinema
61056.0,ShondaLand
61056.0, ABC Studios
89247.0,Berlanti Productions
89247.0, DC Entertainment
89247.0, Warner Bros. Television
74428.0,sin informacion
62264.0,sin informacion
890.0,GAINAX
72305.0,MAPPA
61664.0,Anarchos Productions
61664.0, Studio JMS
61664.0, Georgeville Television
61664.0, Unpronounceable Productions
75758.0,Legendary Television
75758.0, Synthesis Entertainment
75758.0, Sazama Sharpless Productions
75758.0, Applebox Entertainment
75758.0, Clickety-Clack
117581.0,Blue Ice Pictures
117581.0, Dynamic Television
2098.0,DC Comics
2098.0, Warner Bros. Television
86430.0,King Size Productions
86430.0, CBS Studios
80240.0,Teleset
80240.0, Sony Pictures
30991.0,SUNRISE
30991.0, Bandai Visual
30991.0, Sound Box
79699.0,RCN
79699.0, Televisa
92685.0,Disney Television Animation
92685.0, Rough Draft Korea
60573.0,HBO
60573.0, 3 Arts Entertainment
60573.0, Judgemental Films
60573.0, Alec Berg Productions
60573.0, Altschuler Krinsky Works
92830.0,Lucasfilm Ltd.
39340.0,Michael Patrick King Productions
58474.0,Fuzzy Door Productions
58474.0, Cosmos Studios
60743.0,DC Comics
60743.0, Warner Bros. Television
4629.0,MGM Television
72637.0,Pol-Ka Producciones
72637.0, PEGSA Group
72637.0, Non Stop
92396.0,Teleset
92396.0, Sony Pictures Television International
71789.0,CBS Studios
76773.0,ShondaLand
76773.0, ABC Studios
153312.0,101 Studios
153312.0, MTV Entertainment Studios
153312.0, Bosque Ranch Productions
153312.0, Balboa Productions
69629.0,20th Century Fox Television
69629.0, Marvel Television
69629.0, Flying Glass of Milk Productions
69629.0, The Donners' Company
69629.0, Bad Hat Harry Productions
69629.0, Genre Films
100834.0,Atresmedia
100834.0, Suma Latina
100834.0, Apaches Entertainment
85723.0,Scott Free Productions
85723.0, Film Afrika
85723.0, Lit Entertainment Group
85723.0, Shadycat Productions
1972.0,sin informacion
2085.0,Stretch Films
100049.0,Seven Arcs
100049.0, Warner Bros. Japan
100049.0, Shogakukan
100049.0, Shogakukan-Shueisha Productions
100049.0, THE KLOCKWORX
100049.0, Crunchyroll
5371.0,Nickelodeon Productions
5371.0, Schneider's Bakery
1973.0,Imagine Television
1973.0, 20th Century Fox Television
1973.0, Teakwood Lane Productions
90461.0,Disney Television Animation
8358.0,Imagine Television
8358.0, Samuel Baum Productions
66573.0,Fremulon
66573.0, 3 Arts Entertainment
66573.0, Universal Television
79696.0,Warner Bros. Television
79696.0, Compari Entertainment
79696.0, Universal Television
79696.0, Jeff Rake Productions
67136.0,20th Century Fox Television
67136.0, Rhode Island Ave. Productions
67136.0, Zaftig Films
67136.0, 20th Television
97175.0,Archery Pictures
97175.0, Rainbow
97175.0, Young Blood
87784.0,Anonymous Content
87784.0, Paramount Television Studios
87784.0, Mimir Films
87784.0, Mark Bomback Productions
66292.0,David E. Kelley Productions
66292.0, Pacific Standard
66292.0, Blossom Films
66292.0, Crazyrose
66292.0, Hello Sunshine
66292.0, HBO
64464.0,Warner Bros. Television
64464.0, Bad Robot
64464.0, Carpenter B.
94667.0,sin informacion
655.0,Paramount Television Studios
84661.0,Aggregate Films
84661.0, Temple Hill Entertainment
84661.0, MRC
97546.0,Doozer
97546.0, Warner Bros. Television
97546.0, Universal Television
97546.0, Ruby's Tuna
89456.0,Studio La Cachette
89456.0, Williams Street
89456.0, Cartoon Network Studios
52.0,Carsey-Werner Company
8592.0,Universal Television
8592.0, Deedle-Dee Productions
8592.0, Fremulon
8592.0, 3 Arts Entertainment
37606.0,Hanna-Barbera Studios Europe
37606.0, Boulder Media
37606.0, Cartoon Network Studios
62285.0,Goddard Textiles
62285.0, Marvel Television
62285.0, ABC Studios
62285.0, Nine and a Half Fingers
86031.0,TMS Entertainment
86031.0, TOHO
61923.0,Disney Television Animation
61923.0, Rough Draft Korea
114410.0,MAPPA
114410.0, Shueisha
45790.0,David Production
45790.0, Shueisha
45790.0, Warner Bros. Japan
73375.0,Paramount Television Studios
73375.0, Amazon Studios
73375.0, Platinum Dunes
73375.0, Skydance Television
73375.0, Genre Arts
73375.0, Push
73375.0, Boot.
67195.0,The Donners' Company
67195.0, Bad Hat Harry Productions
67195.0, Marvel Television
67195.0, Genre Films
67195.0, 26 Keys Productions
67195.0, FX Productions
103768.0,Team Downey
103768.0, Nightshade
103768.0, Warner Bros. Television
103768.0, DC Entertainment
1420.0,Elizabeth Meriwether Pictures
1420.0, American Nitwits
1420.0, Chernin Entertainment
1420.0, 20th Century Fox Television
61617.0,Warner Bros. Television
61617.0, Cartoon Network Studios
71790.0,Sony Pictures Television Studios
71790.0, CBS Studios
79501.0,Berlanti Productions
