id_show,Creador
84200.0,Gardner Fox
1877.0,Dan Povenmire
1877.0,Jeff 'Swampy' Marsh
73107.0,Bill Hader
73107.0,Alec Berg
53425.0,Chad Hodge
2996.0,Ricky Gervais
2996.0,Stephen Merchant
62704.0,Stephen Levinson
62425.0,Paul Mullie
62425.0,Joseph Mallozzi
73411.0,Cary Joji Fukunaga
73411.0,Patrick Somerville
1660.0,Sidney Sheldon
61733.0,Lee Daniels
61733.0,Danny Strong
1417.0,Ryan Murphy
1417.0,Ian Brennan
1417.0,Brad Falchuk
75214.0,sin informacion
1406.0,David Milch
81355.0,Ava DuVernay
2673.0,Josh Schwartz
70453.0,Marti Noxon
3854.0,Stan Lee
3854.0,Steve Ditko
32754.0,Kelly Marcel
32754.0,Craig Silverstein
68595.0,sin informacion
3498.0,Todd J. Greenwald
88236.0,Philipp Käßbohrer
88236.0,Matthias Murmann
76231.0,Kurt Sutter
76231.0,Elgin James
132559.0,sin informacion
28136.0,sin informacion
79732.0,ND Stevenson
39358.0,Mike Kelley
314.0,Brannon Braga
314.0,Rick Berman
65320.0,Julie Andem
1423.0,Ann Biderman
1447.0,Steve Franks
130392.0,sin informacion
120911.0,sin informacion
116135.0,Jeb Stuart
2328.0,Shuki Levy
2328.0,Haim Saban
580.0,Gene Roddenberry
580.0,Michael Piller
580.0,Rick Berman
9687.0,Homer
9687.0,Andrei Konchalovsky
112163.0,sin informacion
67773.0,Max Landis
3452.0,David Clark Lee
3452.0,Peter Casey
3452.0,David Angell
2675.0,sin informacion
79410.0,Ricky Gervais
62273.0,sin informacion
56295.0,Stewart Hendler
97400.0,Mike Flanagan
105556.0,sin informacion
88055.0,Tony Basgallop
46901.0,Marcela Citterio
46901.0,Kary Fajer
46901.0,Enrique Estevanez
38693.0,Michael Hegner
38693.0,Tommy Andreasen
84977.0,Natasha Lyonne
84977.0,Amy Poehler
84977.0,Leslye Headland
82684.0,sin informacion
65143.0,sin informacion
111110.0,Steven Maeda
111110.0,Matt Owens
57532.0,Keith Chapman
95269.0,Iro Aida
606.0,Danny Antonucci
83121.0,sin informacion
2723.0,Genndy Tartakovsky
94280.0,Rebecca Sugar
5522.0,sin informacion
34415.0,Veena Sud
65555.0,Hilal Saral
68315.0,Christian Torpe
46028.0,Michael Jacobs
95281.0,Miguel Tejada-Flores
95281.0,Nicolás Entel
2025.0,Aaron Spelling
2025.0,Darren Star
45.0,Jeremy Clarkson
45.0,Andy Wilman
45.0,Derek Smith
13023.0,Roberto Gómez Bolaños
926.0,Ken Spears
926.0,Joe Ruby
62428.0,sin informacion
96203.0,sin informacion
97727.0,Scott Thomas
97727.0,Shion Takeuchi
97727.0,Alex Hirsch
97727.0,Alisha Brophy
74682.0,sin informacion
2660.0,Tom Warburton
2228.0,Steven Spielberg
2228.0,Tom Ruegger
70796.0,Amy Sherman-Palladino
67116.0,Matthew Miller
67135.0,Jeremy Slater
113901.0,sin informacion
67126.0,sin informacion
160.0,Kevin Eastman
160.0,Peter Laird
98123.0,Ku Xuan
66786.0,Eric Kripke
66786.0,Shawn Ryan
82.0,Tom Ruegger
114695.0,sin informacion
84669.0,sin informacion
86836.0,sin informacion
31724.0,sin informacion
35790.0,sin informacion
2382.0,Paul Feig
42509.0,sin informacion
4482.0,Sol Saks
83659.0,Guillermo del Toro
68734.0,Luis Zelkowicz
99778.0,sin informacion
1414.0,Shawn Ryan
4546.0,Larry David
3322.0,Tom Fontana
98754.0,sin informacion
33623.0,Christopher L. Yost
33623.0,Joshua Fine
33623.0,Ciro Nieli
21494.0,Kenneth Johnson
21494.0,Scott Peters
67683.0,Brad Wright
76747.0,Jeremy Haft
76747.0,Eddie Gonzalez
76747.0,Lauren Iungerich
93484.0,Steven S. DeKnight
96557.0,sin informacion
47450.0,Miles Millar
47450.0,Alfred Gough
68878.0,Carlos Villegas Rosales
30983.0,sin informacion
90814.0,Kim Jin-min
90814.0,Gin Han-sai
4018.0,Donald P. Bellisario
68716.0,Scott Buck
3022.0,Gábor Csupó
3022.0,Paul Germain
3022.0,Arlene Klasky
83851.0,David E. Kelley
69470.0,Victor Fresco
90855.0,sin informacion
2458.0,Anthony Zuiker
2458.0,Ann Donahue
2458.0,Carol Mendelsohn
