id_show,Paises_Produccion
99588.0,United States of America
91275.0,United States of America
60726.0,United States of America
88516.0,Jordan
77236.0,Italy
77236.0,United Kingdom
1435.0,United States of America
84647.0,United States of America
194766.0,United States of America
86848.0,United States of America
136283.0,South Korea
79622.0,United States of America
90447.0,South Korea
32226.0,South Korea
39269.0,United States of America
65676.0,Japan
35935.0,Japan
5739.0,United States of America
1428.0,Australia
1428.0,United States of America
96444.0,Japan
513.0,sin informacion
99494.0,South Korea
85021.0,United Kingdom
2287.0,United States of America
89844.0,Spain
66871.0,United States of America
69998.0,sin informacion
79086.0,United States of America
36.0,United States of America
129035.0,United States of America
210232.0,United States of America
44824.0,sin informacion
1940.0,sin informacion
60585.0,United States of America
1410.0,United States of America
73544.0,United States of America
117023.0,Spain
62699.0,France
62699.0,Italy
62699.0,Spain
61671.0,sin informacion
93287.0,United States of America
88052.0,United States of America
2327.0,United States of America
2902.0,United States of America
2902.0,Canada
66433.0,South Korea
549.0,United States of America
100412.0,United States of America
33761.0,Mexico
88046.0,Japan
79863.0,United States of America
127865.0,Denmark
60858.0,sin informacion
92468.0,Mexico
3772.0,United States of America
4615.0,United States of America
4615.0,New Zealand
2224.0,United States of America
46511.0,United Kingdom
114395.0,South Korea
1830.0,United States of America
116450.0,United States of America
1777.0,United States of America
4271.0,Australia
4271.0,United States of America
197588.0,United Kingdom
42295.0,United States of America
51019.0,sin informacion
88324.0,United States of America
73467.0,United States of America
3137.0,United States of America
82282.0,Israel
82282.0,Mexico
15079.0,United States of America
236.0,United States of America
1615.0,sin informacion
128883.0,South Korea
112314.0,United States of America
79084.0,United States of America
424.0,United Kingdom
346.0,United States of America
68073.0,United States of America
93811.0,Belgium
58539.0,Mexico
91977.0,United States of America
45094.0,United States of America
62413.0,Canada
16830.0,Japan
82585.0,Mexico
1087.0,Japan
5687.0,sin informacion
96129.0,United Kingdom
96129.0,United States of America
82424.0,Spain
5459.0,Mexico
108296.0,Germany
108296.0,United States of America
71225.0,Spain
155537.0,United States of America
14396.0,United States of America
66825.0,Angola
66825.0,Brazil
903.0,United Kingdom
32962.0,United States of America
2437.0,Spain
709.0,United States of America
94810.0,United States of America
92916.0,France
51704.0,United States of America
81357.0,United States of America
19649.0,United Kingdom
19649.0,Italy
129552.0,United States of America
1546.0,United States of America
66958.0,Japan
111111.0,United States of America
60699.0,United States of America
2919.0,United States of America
37585.0,Japan
64254.0,United States of America
94154.0,United States of America
46883.0,Mexico
97173.0,United Kingdom
97173.0,United States of America
82565.0,United States of America
155.0,United States of America
113367.0,United States of America
63375.0,sin informacion
103157.0,Japan
30981.0,Japan
77721.0,Japan
101881.0,Argentina
101881.0,Chile
101881.0,United States of America
82591.0,Japan
71340.0,United States of America
4879.0,sin informacion
2345.0,sin informacion
19092.0,United States of America
64394.0,United States of America
1720.0,sin informacion
46195.0,Japan
4454.0,United States of America
4331.0,United States of America
82428.0,United States of America
64439.0,United States of America
3611.0,United States of America
129600.0,Japan
86428.0,United Kingdom
86428.0,United States of America
134949.0,Argentina
135340.0,South Korea
648.0,sin informacion
365.0,United States of America
73157.0,sin informacion
68467.0,Brazil
97645.0,United States of America
3750.0,sin informacion
135157.0,South Korea
70176.0,United States of America
61901.0,Japan
33001.0,sin informacion
54583.0,sin informacion
668.0,United States of America
7821.0,Mexico
688.0,sin informacion
100333.0,Italy
118357.0,United States of America
21729.0,Japan
103516.0,United States of America
1457.0,sin informacion
46004.0,Japan
61068.0,Italy
61738.0,South Korea
59659.0,United States of America
4386.0,United States of America
32605.0,sin informacion
97219.0,South Korea
127700.0,United Kingdom
127700.0,United States of America
16118.0,United States of America
9957.0,sin informacion
61662.0,Canada
98161.0,sin informacion
9045.0,United States of America
78903.0,United States of America
82001.0,United States of America
77184.0,United States of America
61599.0,United States of America
1848.0,Italy
108284.0,South Korea
79026.0,Turkey
116386.0,South Korea
30669.0,Japan
