id_show,Canales
62741.0, KBS Kyoto
62741.0, TVQ
62741.0, TSC
62741.0, Kids Station
93846.0,SBS
83639.0,Netflix
83639.0, GMM 25
433.0,FOX
42573.0,tv asahi
78722.0,Las Estrellas
6357.0,CBS
36250.0,TBS
46533.0,FX
61418.0,The CW
100.0,BBC Two
117376.0,tvN
2391.0,HBO
106651.0,Netflix
64196.0,AT-X
62852.0,Showtime
94664.0,Tokyo MX
94664.0, BS11
94664.0, KBS Kyoto
34899.0,Show TV
82104.0,Netflix
65294.0,Netflix
110070.0,Gunma TV
110070.0, Tokyo MX
110070.0, BS11
110070.0, Tochigi TV
96713.0,Netflix
37863.0,TBS
61888.0,FOX
110642.0,Netflix
113036.0,Hulu
85801.0,Disney+
31295.0,E4
31109.0,Cartoon Network
43020.0,Showcase
186.0,Showtime
66398.0,sin informacion
61345.0,Syfy
119243.0,Paramount+
74387.0,Adult Swim
74387.0, TBS
48865.0,The CW
69291.0,Tokyo MX
31654.0,Fuji TV
46994.0,Disney XD
46994.0, Family Chrgd
75191.0,AMC
62687.0,CBS
32692.0,CBS
60957.0,SBS
240.0,The WB
114472.0,Disney+
82700.0,Netflix
12782.0,Las Estrellas
65988.0,Syfy
65988.0, Space
65988.0, CHCH-DT
25707.0,TV Tokyo
68349.0,MBC
61593.0,Adult Swim
71365.0,Syfy
4588.0,NBC
54155.0,Prime Video
56998.0,AT-X
60554.0,Disney XD
2875.0,ABC
61709.0,Fuji TV
49010.0,RTÉ One
110356.0,Netflix
4229.0,Cartoon Network
100757.0,Netflix
3475.0,Showtime
80748.0,CBS
93149.0,Tokyo MX
93149.0, KBS Kyoto
2129.0,Nickelodeon
87623.0,atv
80307.0,BBC One
124364.0,Epix
124364.0, MGM+
88040.0,Fuji TV
90660.0,Netflix
1427.0,ITV1
84200.0,Cartoon Network
1877.0,Disney XD
1877.0, Disney Channel
73107.0,HBO
53425.0,FOX
2996.0,BBC Two
62704.0,HBO
62425.0,Syfy
62425.0, Space
73411.0,Netflix
1660.0,NBC
61733.0,FOX
1417.0,FOX
75214.0,Tokyo MX
1406.0,HBO
81355.0,Netflix
2673.0,FOX
70453.0,HBO
3854.0,Disney XD
3854.0, The CW
32754.0,FOX
68595.0,BBC One
3498.0,Disney Channel
88236.0,Netflix
76231.0,FX
132559.0,Hulu
132559.0, Peacock
28136.0,Fuji TV
79732.0,Netflix
39358.0,ABC
314.0,UPN
65320.0,NRK P3
65320.0, NRK3
1423.0,Showtime
1447.0,USA Network
130392.0,Hulu
120911.0,Prime Video
116135.0,Netflix
2328.0,ABC
2328.0, Nickelodeon
2328.0, ABC Family
2328.0, Toon Disney
2328.0, Netflix
2328.0, Fox Kids
580.0,Syndication
9687.0,CTV
9687.0, NBC
112163.0,Netflix
67773.0,BBC America
3452.0,NBC
2675.0,Disney Channel
79410.0,Netflix
62273.0,TBS
62273.0, Tokyo MX
62273.0, BS11
56295.0,YouTube
97400.0,Netflix
105556.0,Tokyo MX
105556.0, BS11
88055.0,Apple TV+
46901.0,Univision
46901.0, Las Estrellas
38693.0,Cartoon Network
84977.0,Netflix
82684.0,BS11
82684.0, Tokyo MX
65143.0,KBS2
111110.0,Netflix
57532.0,Nickelodeon
95269.0,TBS
606.0,Cartoon Network
83121.0,Gunma TV
83121.0, Tokyo MX
83121.0, BS11
83121.0, Tochigi TV
2723.0,Cartoon Network
2723.0, Adult Swim
94280.0,Cartoon Network
5522.0,Telemundo
34415.0,AMC
34415.0, Netflix
65555.0,Star TV
68315.0,Spike
46028.0,Disney Channel
95281.0,Prime Video
2025.0,FOX
45.0,BBC One
45.0, BBC Two
13023.0,Las Estrellas
926.0,ABC
926.0, CBS
62428.0,Bandai Channel
96203.0,Tokyo MX
96203.0, BS11
96203.0, KBS Kyoto
96203.0, ABEMA
96203.0, Sun TV
97727.0,Netflix
74682.0,MBC
2660.0,Cartoon Network
2228.0,The WB
70796.0,Prime Video
67116.0,FOX
67135.0,FOX
113901.0,Prime Video
67126.0,ABC TV
67126.0, AT-X
160.0,CBS
160.0, Syndication
98123.0,bilibili
66786.0,NBC
82.0,The WB
82.0, Fox Kids
114695.0,Disney+
84669.0,TBS
86836.0,AT-X
86836.0, Tokyo MX
31724.0,MBS
35790.0,NHK BS2
35790.0, NHK BS Premium
2382.0,NBC
42509.0,Teletama
42509.0, Sun TV
4482.0,ABC
83659.0,Netflix
68734.0,Telemundo
99778.0,AT-X
1414.0,FX
4546.0,HBO
3322.0,HBO
98754.0,Nickelodeon
33623.0,Disney XD
21494.0,ABC
67683.0,Showcase
67683.0, Netflix
76747.0,Netflix
93484.0,Netflix
96557.0,Netflix
47450.0,AMC
68878.0,Telemundo
30983.0,YTV
90814.0,Netflix
4018.0,NBC
68716.0,ABC
3022.0,Nickelodeon
83851.0,HBO
69470.0,Netflix
90855.0,Netflix
90855.0, Crunchyroll
2458.0,CBS
86850.0,BBC One
67557.0,Prime Video
38974.0,Disney Channel
2942.0,Showtime
97617.0,AT-X
97617.0, Gunma TV
97617.0, Tokyo MX
97617.0, BS11
97617.0, Tochigi TV
5148.0,Syfy
2207.0,BBC Two
61339.0,Niconico
73321.0,iQiyi
73321.0, Youku
73321.0, bilibili
73321.0, Mango TV
73321.0, Tencent Video
1436.0,FX
112836.0,Netflix
4610.0,Disney Channel
59427.0,Disney XD
73777.0,Las Estrellas
80828.0,HBO
61611.0,SBS
18685.0,UniMás
65495.0,FX
104819.0,Prime Video
104555.0,Netflix
82816.0,HBO
4345.0,NBC
44305.0,Cartoon Network
17572.0,Disney XD
4605.0,Disney Channel
62816.0,ABC
4608.0,NBC
197067.0,ENA
111803.0,HBO
60694.0,HBO
1481.0,USA Network
72517.0,AT-X
72517.0, TV Aichi
72517.0, Tokyo MX
66857.0,USA Network
32351.0,Comedy Central
98034.0,Fuji TV
86382.0,CBS All Access
720.0,Syndication
1422.0,ABC
64706.0,Tokyo MX
64706.0, KBS Kyoto
64706.0, TV Aichi
64706.0, BS11
64706.0, Sun TV
64706.0, AT-X
51817.0,Nickelodeon
79008.0,Telemundo
79008.0, Netflix
873.0,ABC
873.0, NBC
106541.0,Netflix
40293.0,Starz
60808.0,AT-X
60808.0, Tokyo MX
60808.0, Sun TV
60808.0, KBS Kyoto
60808.0, TV Aichi
60808.0, BS11
652.0,The WB
652.0, Cartoon Network
77240.0,TV Tokyo
42025.0,Network Ten
42025.0, Eleven
4429.0,Syndication
4429.0, CBS
4429.0, Toon Disney
96580.0,Syfy
15819.0,Syfy
136315.0,Hulu
57911.0,tv asahi
1063.0,Fuji TV
918.0,CBS
12777.0,Las Estrellas
