id_show,Idiomas_hablados
97441.0,English
46671.0,日本語
31387.0,Español
13943.0,English
93808.0,Deutsch
9027.0,Español
105797.0,English
123876.0,日本語
111838.0,English
135934.0,English
124124.0,Español
95171.0,English
84469.0,English
4414.0,Français
4414.0,English
4414.0,Italiano
4414.0,Polski
61421.0,日本語
42942.0,日本語
2171.0,English
39434.0,日本語
2423.0,English
326.0,English
75865.0,日本語
154385.0,English
154385.0,한국어/조선말
5639.0,English
578.0,English
39518.0,English
1664.0,English
77696.0,한국어/조선말
95259.0,English
62565.0,日本語
66840.0,English
3122.0,English
71809.0,English
99935.0,Français
8392.0,English
99121.0,English
61463.0,English
110529.0,Português
4035.0,English
62211.0,English
60637.0,English
60637.0,Español
93784.0,English
43865.0,日本語
84380.0,Deutsch
84380.0,Français
84380.0,Pусский
4269.0,English
14009.0,Italiano
14009.0,English
69346.0,日本語
32118.0,English
72705.0,English
4606.0,English
2432.0,English
1095.0,日本語
66078.0,日本語
7072.0,English
7072.0,Español
103847.0,Español
877.0,ελληνικά
877.0,English
59186.0,English
105590.0,Español
73833.0,日本語
88713.0,English
88713.0,Italiano
67384.0,English
43982.0,English
94372.0,English
32729.0,English
14853.0,Português
42282.0,English
484.0,English
484.0,Magyar
79130.0,English
108261.0,한국어/조선말
65942.0,日本語
61295.0,日本語
82728.0,English
71694.0,English
85404.0,한국어/조선말
713.0,English
734.0,English
34109.0,English
34109.0,日本語
63522.0,English
2693.0,English
96658.0,English
58937.0,English
77459.0,English
70573.0,English
103506.0,English
103506.0,Español
92433.0,Español
7482.0,English
70865.0,Español
62255.0,日本語
198102.0,English
103026.0,English
46041.0,日本語
100074.0,Deutsch
32573.0,English
33234.0,English
103787.0,Español
63647.0,English
815.0,English
96716.0,English
4625.0,English
5895.0,日本語
16946.0,English
33987.0,English
33987.0,Español
111837.0,English
33873.0,English
103992.0,English
2777.0,Français
1430.0,English
133727.0,Español
133727.0,English
83135.0,Español
83135.0,English
83135.0,Português
84052.0,Deutsch
100963.0,English
4232.0,English
81292.0,English
84503.0,English
6024.0,English
56425.0,日本語
2745.0,English
2745.0,svenska
128876.0,English
17149.0,日本語
4376.0,English
94423.0,日本語
931.0,English
2604.0,English
68427.0,English
83685.0,English
114461.0,English
126525.0,Español
116989.0,English
116989.0,Español
90766.0,English
35527.0,Español
62602.0,日本語
120452.0,English
88043.0,日本語
119988.0,Español
1998.0,English
237.0,English
9302.0,日本語
126531.0,Español
90823.0,Español
90823.0,Português
2706.0,English
66579.0,Español
79588.0,English
135918.0,Italiano
65329.0,日本語
4601.0,English
46638.0,English
98214.0,English
98214.0,Español
90811.0,English
2742.0,English
73117.0,English
73117.0,Italiano
37664.0,English
103411.0,English
65817.0,English
6516.0,English
156077.0,Español
48860.0,English
196454.0,English
1678.0,English
49009.0,English
4575.0,English
61755.0,日本語
3934.0,English
68188.0,日本語
61986.0,English
43.0,Español
104157.0,Íslenska
62640.0,日本語
85833.0,English
43062.0,Português
1739.0,English
81983.0,English
81983.0,Français
37419.0,日本語
13579.0,English
3172.0,English
2192.0,English
2192.0,Español
2192.0,普通话
72306.0,Español
105288.0,English
397.0,English
83247.0,English
80825.0,Português
98187.0,English
66329.0,한국어/조선말
71731.0,Español
71731.0,English
72755.0,English
68799.0,English
114478.0,English
114478.0,Français
114478.0,日本語
114478.0,한국어/조선말
114478.0,Español
7869.0,English
64163.0,日本語
6005.0,English
4656.0,English
1867.0,English
120462.0,English
219.0,English
89233.0,English
89233.0,हिन्दी
89233.0,普通话
89233.0,Pусский
46976.0,English
61018.0,English
156902.0,English
156902.0,Español
1466.0,English
128252.0,Español
98201.0,English
72548.0,한국어/조선말
83880.0,English
11767.0,日本語
11767.0,English
75209.0,Português
96162.0,한국어/조선말
58111.0,English
57092.0,English
81559.0,English
154825.0,한국어/조선말
39276.0,English
2009.0,English
85853.0,English
6673.0,English
94404.0,日本語
134297.0,English
34793.0,English
34793.0,日本語
105177.0,English
60626.0,English
114922.0,English
64320.0,한국어/조선말
46880.0,English
91602.0,English
39297.0,English
100617.0,English
129495.0,English
63201.0,English
84969.0,Español
60905.0,English
12970.0,Español
67667.0,日本語
21631.0,Español
85844.0,日本語
65292.0,日本語
133723.0,English
78173.0,English
132141.0,English
132141.0,Español
61695.0,日本語
4598.0,English
1570.0,English
1570.0,Français
63646.0,English
63646.0,Deutsch
63646.0,Italiano
103435.0,Español
39218.0,日本語
17438.0,日本語
194583.0,English
110695.0,English
90602.0,Español
61720.0,Español
77568.0,Español
61602.0,Español
19125.0,Español
19566.0,English
62917.0,Português
97951.0,English
958.0,普通话
958.0,Español
958.0,English
958.0,Italiano
97539.0,English
97539.0,Deutsch
61381.0,English
62320.0,English
2567.0,English
17463.0,English
17463.0,Español
111616.0,English
45845.0,日本語
67676.0,日本語
10268.0,English
12568.0,Español
4303.0,English
78122.0,日本語
43016.0,English
61415.0,日本語
43284.0,Español
44914.0,Español
64199.0,English
39362.0,English
65784.0,English
94951.0,English
12504.0,English
95314.0,Español
93736.0,日本語
93736.0,English
51370.0,English
90257.0,English
1480.0,English
60956.0,한국어/조선말
1450.0,English
99048.0,한국어/조선말
99048.0,ภาษาไทย
99048.0,English
95249.0,English
110309.0,日本語
96481.0,العربية
96481.0,English
96481.0,Italiano
96481.0,Latin
96481.0,Türkçe
96481.0,ελληνικά
1097.0,日本語
195670.0,English
195670.0,한국어/조선말
81879.0,English
87539.0,English
32778.0,Español
95603.0,Türkçe
127571.0,Español
73925.0,English
1813.0,English
115577.0,English
2359.0,English
114705.0,English
114705.0,Español
117030.0,English
73488.0,Français
97890.0,English
61378.0,English
114165.0,English
33213.0,English
135647.0,sin informacion
68854.0,日本語
69295.0,日本語
418.0,English
63314.0,Español
80563.0,日本語
79.0,English
79.0,Español
105213.0,Português
61244.0,English
93019.0,日本語
8803.0,日本語
7704.0,English
66980.0,Deutsch
12536.0,日本語
93292.0,English
103786.0,English
221300.0,English
111625.0,English
66761.0,English
66761.0,Italiano
120587.0,Español
49157.0,English
31687.0,日本語
7831.0,English
10926.0,日本語
3319.0,English
104699.0,日本語
39510.0,English
670.0,English
101512.0,English
101512.0,Português
61314.0,Français
657.0,English
657.0,Português
2397.0,English
80335.0,English
60741.0,English
42154.0,English
42154.0,Français
42154.0,Deutsch
97609.0,Español
64555.0,Português
64555.0,English
73126.0,English
67230.0,Español
95665.0,English
95665.0,العربية
95665.0,Deutsch
95665.0,Pусский
21755.0,English
3470.0,English
2719.0,English
61670.0,한국어/조선말
42280.0,Español
153519.0,English
153519.0,Português
2410.0,English
12614.0,Español
5028.0,English
62084.0,English
152483.0,English
112077.0,English
82791.0,English
15114.0,English
42350.0,Español
87050.0,English
4459.0,English
67861.0,English
15822.0,English
6549.0,English
83050.0,English
